iter	Logloss
0	0.6444126326
1	0.5979557159
2	0.5559609286
3	0.5202714207
4	0.4933621456
5	0.4683253945
6	0.4458755947
7	0.4275442108
8	0.4108617074
9	0.3985584748
10	0.3865805292
11	0.3733341382
12	0.3619771516
13	0.3500482625
14	0.3422659302
15	0.3346304454
16	0.3278606051
17	0.3221634145
18	0.3168608044
19	0.3117047503
20	0.3075715379
21	0.3038255969
22	0.300201213
23	0.297662671
24	0.2948655793
25	0.2912420092
26	0.2882317731
27	0.2859420542
28	0.2836772801
29	0.281612394
30	0.2801735309
31	0.2780881305
32	0.275995704
33	0.2747812179
34	0.2736055053
35	0.2723616355
36	0.2707897577
37	0.2696953199
38	0.2689269157
39	0.2677073057
40	0.2664856059
41	0.2656298688
42	0.2644947832
43	0.2633748437
44	0.2623147822
45	0.2615095734
46	0.260759405
47	0.2601494457
48	0.259535116
49	0.2587283973
50	0.2582230121
51	0.2576866496
52	0.2572071377
53	0.2564626347
54	0.2558735029
55	0.255369343
56	0.2550571039
57	0.2544864466
58	0.2540269801
59	0.2536204875
60	0.2531636483
61	0.2527597039
62	0.2521768476
63	0.2516894201
64	0.251190187
65	0.2507639749
66	0.250287759
67	0.2500085486
68	0.249677039
69	0.2492479198
70	0.2489134097
71	0.2485941138
72	0.248157745
73	0.2477996189
74	0.2474406447
75	0.2472249589
76	0.2469918959
77	0.2466605099
78	0.2463562992
79	0.2459875152
80	0.2456955794
81	0.2453033955
82	0.2449808739
83	0.2447701214
84	0.2444134311
85	0.2440455163
86	0.2437632531
87	0.2434781459
88	0.2432173595
89	0.2429118301
90	0.2425313628
91	0.2422823937
92	0.2419763822
93	0.2417158597
94	0.241557261
95	0.2413423709
96	0.2411578292
97	0.2408980933
98	0.2406707788
99	0.2404942385
100	0.2402408551
101	0.2400648347
102	0.2398094452
103	0.2396590558
104	0.2395685638
105	0.2394880371
106	0.2393424994
107	0.2390966126
108	0.2388983922
109	0.2386668366
110	0.2384596191
111	0.2382926145
112	0.2380591024
113	0.2378962508
114	0.2377089065
115	0.2375770064
116	0.237421328
117	0.2371397674
118	0.236889119
119	0.2367822708
120	0.2366754858
121	0.2365594991
122	0.2364238607
123	0.2362964047
124	0.236139888
125	0.2359051216
126	0.2357631786
127	0.2356170034
128	0.2354888563
129	0.2352101959
130	0.2350976124
131	0.2349790534
132	0.2348686847
133	0.2346449625
134	0.2345183015
135	0.2343865636
136	0.2343043878
137	0.2341354271
138	0.2340191328
139	0.2338722903
140	0.233773762
141	0.2336843301
142	0.2335508935
143	0.2334758253
144	0.2333494934
145	0.2331220146
146	0.2329738878
147	0.2328650895
148	0.2327430348
149	0.2325633549
150	0.2324819155
151	0.2323762073
152	0.2322185355
153	0.2321335664
154	0.2320454739
155	0.2319369451
156	0.2317631414
157	0.2316518394
158	0.2316011246
159	0.2315258393
160	0.2314265522
161	0.2312718118
162	0.2311485666
163	0.2310480676
164	0.2309451372
165	0.2308101898
166	0.2305247352
167	0.2303637595
168	0.2302545051
169	0.2302015246
170	0.2301213378
171	0.2299407446
172	0.2297889532
173	0.2296667927
174	0.2295451757
175	0.2294042668
176	0.2292595147
177	0.2290933426
178	0.2289339464
179	0.2289043225
180	0.2288375265
181	0.2287709785
182	0.2287220698
183	0.2285558628
184	0.2284075983
185	0.2282214168
186	0.2280239152
187	0.2278163164
188	0.2277094411
189	0.2276169257
190	0.2275227979
191	0.2273192636
192	0.2271824853
193	0.2271368382
194	0.2270112597
195	0.2268707818
196	0.2266848363
197	0.2265547591
198	0.2263980206
199	0.2263443535
200	0.2262706116
201	0.2262076099
202	0.2260465154
203	0.2259934698
204	0.2258463721
205	0.225717426
206	0.225617812
207	0.22544318
208	0.2252970288
209	0.2251674622
210	0.2250702093
211	0.2249270144
212	0.2248307527
213	0.2247020761
214	0.2246136438
215	0.2244910651
216	0.224379909
217	0.2242901786
218	0.2241929232
219	0.2240932528
220	0.2240398612
221	0.2239641574
222	0.2238409297
223	0.2237441965
224	0.2236287172
225	0.2235000854
226	0.2234411108
227	0.2233773257
228	0.2232438103
229	0.2231214606
230	0.2230395954
231	0.2229596233
232	0.2228155809
233	0.2226454219
234	0.2225535769
235	0.2224718635
236	0.2223840959
237	0.2223097655
238	0.2222183687
239	0.2221293915
240	0.2220122214
241	0.2219382526
242	0.221802412
243	0.221746747
244	0.2216474964
245	0.2215396514
246	0.2214341542
247	0.2213109027
248	0.2211967849
249	0.2210950347
250	0.2209513109
251	0.2208913005
252	0.2208088741
253	0.2207632269
254	0.2206396135
255	0.2205597724
256	0.2204326531
257	0.2203574737
258	0.2201855893
259	0.2200952788
260	0.2200223396
261	0.2199096727
262	0.2197540931
263	0.2196717575
264	0.2195127451
265	0.2194345002
266	0.2193276589
267	0.219239401
268	0.2192071891
269	0.2191207011
270	0.2190394999
271	0.2189286235
272	0.2188207672
273	0.2187284931
274	0.2186159069
275	0.2185056798
276	0.2184421595
277	0.2183386179
278	0.2183302057
279	0.2182063815
280	0.2181058743
281	0.2179867926
282	0.2178865027
283	0.2178194078
284	0.217746087
285	0.2176661797
286	0.2176206093
287	0.2174922055
288	0.2174030143
289	0.2173589717
290	0.2172494996
291	0.2171581835
292	0.2170424179
293	0.2168971895
294	0.2167930523
295	0.2167172876
296	0.2166062734
297	0.2165114138
298	0.2164267561
299	0.2163435582
300	0.2162428113
301	0.2161187823
302	0.2160378605
303	0.2159587528
304	0.2158736549
305	0.2157834768
306	0.215699136
307	0.2156059202
308	0.2155017076
