iter	Passed	Remaining
0	6	6301
1	12	6475
2	19	6605
3	25	6460
4	32	6465
5	38	6429
6	45	6439
7	52	6469
8	58	6458
9	64	6431
10	70	6368
11	77	6380
12	84	6397
13	92	6548
14	100	6567
15	106	6549
16	116	6755
17	124	6783
18	135	7014
19	158	7744
20	168	7861
21	178	7948
22	185	7898
23	203	8264
24	211	8265
25	219	8234
26	227	8214
27	234	8151
28	253	8486
29	260	8416
30	267	8349
31	273	8273
32	280	8211
33	287	8169
34	295	8150
35	303	8117
36	310	8094
37	318	8060
38	324	8000
39	331	7958
40	339	7945
41	346	7896
42	353	7857
43	359	7817
44	366	7781
45	373	7753
46	380	7714
47	388	7698
48	394	7664
49	402	7645
50	408	7609
51	415	7578
52	422	7544
53	429	7524
54	436	7493
55	442	7457
56	448	7415
57	454	7384
58	461	7361
59	468	7342
60	475	7326
61	482	7301
62	489	7276
63	495	7249
64	502	7224
65	509	7209
66	516	7189
67	522	7165
68	529	7144
69	536	7124
70	543	7105
71	550	7096
72	558	7092
73	565	7075
74	572	7058
75	578	7034
76	585	7012
77	592	7005
78	599	6987
79	605	6967
80	612	6947
81	620	6941
82	627	6928
83	633	6911
84	640	6898
85	647	6885
86	655	6877
87	661	6857
88	668	6840
89	674	6821
90	681	6806
91	687	6789
92	694	6773
93	701	6758
94	707	6744
95	714	6729
96	721	6715
97	728	6701
98	735	6696
99	742	6679
100	748	6665
101	755	6651
102	762	6642
103	769	6627
104	775	6607
105	781	6591
106	790	6593
107	797	6584
108	806	6595
109	815	6599
110	822	6588
111	828	6571
112	835	6560
113	842	6546
114	848	6533
115	855	6516
116	861	6500
117	867	6487
118	874	6477
119	880	6460
120	887	6450
121	893	6431
122	900	6424
123	906	6406
124	913	6394
125	920	6388
126	927	6373
127	933	6360
128	939	6344
129	946	6333
130	952	6321
131	959	6310
132	965	6295
133	972	6285
134	981	6286
135	990	6292
136	996	6276
137	1002	6264
138	1009	6251
139	1015	6237
140	1022	6227
141	1028	6212
142	1033	6195
143	1039	6180
144	1046	6168
145	1053	6161
146	1060	6153
147	1067	6142
148	1073	6130
149	1079	6119
150	1087	6113
151	1095	6109
152	1101	6100
153	1108	6089
154	1114	6076
155	1121	6065
156	1129	6064
157	1137	6061
158	1144	6053
159	1150	6040
160	1156	6028
161	1163	6017
162	1169	6007
163	1177	6002
164	1185	5997
165	1192	5991
166	1199	5983
167	1206	5974
168	1212	5963
169	1219	5952
170	1227	5952
171	1236	5950
172	1242	5941
173	1249	5931
174	1255	5920
175	1262	5910
176	1269	5901
177	1276	5895
178	1283	5884
179	1289	5872
180	1294	5859
181	1300	5846
182	1307	5838
183	1314	5829
184	1321	5821
185	1328	5812
186	1335	5804
187	1341	5795
188	1348	5784
189	1354	5773
190	1361	5765
191	1367	5756
192	1374	5747
193	1380	5735
194	1388	5731
195	1394	5720
196	1401	5712
197	1408	5704
198	1415	5697
199	1421	5685
200	1426	5672
201	1432	5660
202	1439	5652
203	1445	5641
204	1452	5633
205	1459	5626
206	1466	5616
207	1474	5615
208	1483	5613
209	1490	5606
210	1498	5604
211	1506	5598
212	1512	5588
213	1520	5584
214	1526	5574
215	1533	5565
216	1539	5555
217	1545	5544
218	1551	5534
219	1558	5525
220	1564	5515
221	1572	5509
222	1578	5500
223	1584	5488
224	1591	5482
225	1598	5475
226	1604	5464
227	1610	5453
228	1617	5444
229	1624	5437
230	1629	5425
231	1637	5419
232	1643	5409
233	1650	5403
234	1656	5393
235	1663	5384
236	1669	5375
237	1676	5366
238	1682	5356
239	1688	5346
240	1694	5337
241	1700	5327
242	1707	5318
243	1712	5307
244	1719	5297
245	1726	5290
246	1733	5284
247	1740	5276
248	1746	5267
249	1752	5257
250	1758	5248
251	1765	5240
252	1771	5231
253	1777	5220
254	1783	5210
255	1789	5201
256	1796	5194
257	1803	5185
258	1810	5179
259	1817	5172
260	1823	5163
261	1830	5154
262	1837	5148
263	1843	5138
264	1850	5131
265	1856	5121
266	1862	5113
267	1868	5104
268	1874	5093
269	1881	5085
270	1887	5077
271	1893	5068
272	1901	5062
273	1907	5054
274	1913	5045
275	1920	5037
276	1926	5027
277	1932	5019
278	1938	5008
279	1944	5001
280	1951	4993
281	1958	4986
282	1964	4977
283	1970	4968
284	1978	4963
285	1984	4955
286	1990	4946
287	1997	4937
288	2004	4930
289	2010	4921
290	2016	4913
291	2022	4904
292	2029	4896
293	2036	4890
294	2043	4883
295	2049	4874
296	2056	4868
297	2063	4862
298	2070	4853
299	2076	4844
300	2082	4837
301	2089	4830
302	2096	4822
303	2102	4813
304	2115	4821
305	2127	4824
306	2133	4816
307	2140	4809
308	2148	4804
309	2158	4803
310	2178	4826
311	2186	4820
312	2196	4820
313	2202	4811
314	2213	4812
315	2222	4811
316	2229	4803
317	2236	4795
318	2242	4787
319	2249	4780
320	2256	4773
321	2262	4764
322	2269	4757
323	2276	4749
324	2282	4741
325	2289	4732
326	2295	4723
327	2301	4715
328	2307	4707
329	2314	4698
330	2321	4691
331	2327	4683
332	2333	4674
333	2339	4665
334	2345	4656
335	2352	4648
336	2358	4639
337	2364	4630
338	2371	4623
339	2377	4614
340	2382	4605
341	2389	4598
342	2396	4590
343	2403	4582
344	2409	4575
345	2415	4565
346	2422	4558
347	2428	4549
348	2434	4541
349	2441	4533
350	2446	4524
351	2452	4515
352	2459	4507
353	2466	4501
354	2473	4493
355	2479	4485
356	2485	4477
357	2492	4470
358	2498	4461
359	2504	4452
360	2510	4444
361	2516	4435
362	2522	4427
363	2529	4419
364	2535	4411
365	2542	4404
366	2548	4395
367	2554	4387
368	2560	4378
369	2566	4370
370	2574	4364
371	2579	4355
372	2586	4348
373	2592	4339
374	2598	4331
375	2604	4323
376	2611	4315
377	2617	4307
378	2623	4299
379	2629	4289
380	2635	4281
381	2642	4274
382	2648	4266
383	2655	4260
384	2662	4253
385	2669	4246
386	2676	4239
387	2682	4231
388	2689	4223
389	2695	4216
390	2701	4208
391	2708	4200
392	2715	4194
393	2721	4185
394	2728	4179
395	2735	4172
396	2741	4164
397	2748	4157
398	2754	4149
399	2761	4142
400	2768	4135
401	2775	4128
402	2781	4120
403	2787	4112
404	2794	4105
405	2802	4100
406	2810	4094
407	2819	4091
408	2829	4089
409	2838	4084
410	2845	4078
411	2854	4074
412	2865	4072
413	2875	4070
414	2888	4071
415	2901	4073
416	2908	4066
417	2915	4059
418	2922	4052
419	2928	4043
420	2935	4037
421	2942	4029
422	2948	4022
423	2955	4014
424	2962	4007
425	2968	3999
426	2976	3993
427	2982	3985
428	2988	3977
429	2994	3969
430	3001	3961
431	3007	3953
432	3012	3944
433	3019	3937
434	3025	3929
435	3031	3921
436	3037	3913
437	3045	3907
438	3050	3898
439	3059	3893
440	3065	3886
441	3073	3880
442	3080	3873
443	3086	3864
444	3093	3858
445	3099	3850
446	3106	3843
447	3112	3835
448	3119	3827
449	3125	3820
450	3133	3814
451	3140	3806
452	3146	3799
453	3153	3792
454	3160	3785
455	3167	3778
456	3173	3771
457	3181	3764
458	3187	3756
459	3193	3749
460	3200	3741
461	3207	3734
462	3212	3726
463	3219	3719
464	3225	3711
465	3232	3703
466	3239	3696
467	3245	3689
468	3251	3681
469	3257	3673
470	3264	3666
471	3271	3659
472	3278	3652
473	3284	3644
474	3289	3636
475	3296	3629
476	3302	3621
477	3309	3614
478	3316	3606
479	3323	3600
480	3329	3592
481	3336	3585
482	3343	3578
483	3350	3571
484	3357	3564
485	3362	3556
486	3369	3549
487	3375	3541
488	3382	3534
489	3390	3528
490	3396	3520
491	3403	3514
492	3409	3506
493	3416	3499
494	3422	3491
495	3428	3483
496	3434	3475
497	3440	3468
498	3447	3460
499	3453	3453
500	3459	3445
501	3465	3438
502	3472	3431
